area,TotalPop2001,AverageRent2001,AverageValueofDwelling2001,TotalPop2006,AverageRent2006,AverageValueofDwelling2006,AverageValueofDwelling2016,AverageRent2016,TotalPop2016,Tenantoccupied2001,Owneroccupied2001,Tenantoccupied2006,Owneroccupied2006,Owneroccupied2016,Tenantoccupied2016
Arbutus-Ridge,14515,1124,525087,16145,1198,903780,2500033,1688,15295,2210,3395,2155,3945,3870,2250
Downtown,27990,749,260460,43415,992,563128,941493,1589,62030,12185,5580,14445,10575,15030,20070
Dunbar-Southlands,21310,1351,558356,21480,1365,985837,3026785,1824,21425,1330,5305,1235,5710,5470,1495
Fairview,28405,887,236518,29295,987,430372,761230,1341,33620,11165,5710,10365,7025,8175,11340
Grandview-Woodland,29085,640,224675,28205,715,416736,899002,1041,29175,10255,4100,9485,4835,5455,9580
Hastings-Sunrise,33045,762,305075,33130,823,548064,1266054,1103,34575,4295,6755,4145,7510,7515,5210
Kensington-Cedar Cottage,44560,751,294127,44665,790,538034,1214877,1163,49325,6530,8080,6250,9165,9960,7930
Kerrisdale,14035,1077,659204,14615,1249,1115764,2879632,1504,13975,1990,3370,1975,3575,3665,1855
Killarney,25785,765,291332,27180,844,502674,1097209,1094,29325,3615,5225,3640,6010,6375,4285
Kitsilano,39620,905,367510,40595,1041,642914,1327707,1472,43045,13245,8740,12545,9550,9925,13025
Marpole,22415,752,402146,23785,822,654299,1695892,1113,24460,5725,3555,5615,4190,4490,6410
Mount Pleasant,24535,692,198301,23615,772,404175,803459,1291,32955,9075,3580,8595,4195,7030,10955
Oakridge,11795,1064,534190,12725,1253,883621,2414767,1494,13030,1710,2620,1660,2980,3085,1945
Renfrew-Collingwood,44950,768,286688,48885,811,494185,1099509,1107,51530,5820,8835,5845,10965,11015,7855
Riley Park,21990,828,337817,21815,885,635018,1695195,1361,22555,3680,4500,3460,4905,5135,3700
Shaughnessy,9020,1259,876516,8900,1371,1422043,3247312,1786,8430,795,2175,635,2405,2145,730
South Cambie,6995,1039,424386,7070,1077,737285,1907007,1500,7970,1230,1445,1075,1720,1860,1300
Strathcona,11575,421,217727,11920,500,459923,845567,699,12585,6030,775,5350,855,1125,4730
Sunset,33425,750,317281,35230,784,581122,1456880,1112,36500,4095,5815,4455,6450,6185,5410
Victoria-Fraserview,27150,779,347317,29200,861,607081,1441615,1064,31065,2955,5440,3370,6140,6195,3975
West End,42120,809,211959,44560,908,406894,670773,1308,47200,22845,5145,23320,5640,6130,24690
West Point Grey,12680,1075,645496,12990,1114,1078609,2830724,1524,13065,1980,3205,1915,3465,3325,2015
Vancouver CSD (City of Vancouver),545675,796,358374,578040,898,628682,1414191,1296,631485,132755,103340,131535,121830,133160,150745
Vancouver CMA  (Metro Vancouver),1986965,814,294847,2116580,893,520937,1005920,1242,2463430,294350,459575,283755,529095,608080,347220
