area	TotalPop2001	AverageRent2001	AverageValueofDwelling2001	TotalPop2006	AverageRent2006	AverageValueofDwelling2006	AverageValueofDwelling2016	AverageRent2016	TotalPop2016	Tenant-occupied2001	Owner-occupied2001	Tenant-occupied2006	Owner-occupied2006	Owner-occupied2016	Tenant-occupied2016
Arbutus-Ridge	14515	1124	525087	16145	1198	903780	2500033	1688	15295	"2,210"	"3,395"	"2,155"	"3,945"	3870	2250
Downtown	27990	749	260460	43415	992	563128	941493	1589	62030	"12,185"	"5,580"	"14,445"	"10,575"	15030	20070
Dunbar-Southlands	21310	1351	558356	21480	1365	985837	3026785	1824	21425	"1,330"	"5,305"	"1,235"	"5,710"	5470	1495
Fairview	28405	887	236518	29295	987	430372	761230	1341	33620	"11,165"	"5,710"	"10,365"	"7,025"	8175	11340
Grandview-Woodland	29085	640	224675	28205	715	416736	899002	1041	29175	"10,255"	"4,100"	"9,485"	"4,835"	5455	9580
Hastings-Sunrise	33045	762	305075	33130	823	548064	1266054	1103	34575	"4,295"	"6,755"	"4,145"	"7,510"	7515	5210
Kensington-Cedar Cottage	44560	751	294127	44665	790	538034	1214877	1163	49325	"6,530"	"8,080"	"6,250"	"9,165"	9960	7930
Kerrisdale	14035	1077	659204	14615	1249	1115764	2879632	1504	13975	"1,990"	"3,370"	"1,975"	"3,575"	3665	1855
Killarney	25785	765	291332	27180	844	502674	1097209	1094	29325	"3,615"	"5,225"	"3,640"	"6,010"	6375	4285
Kitsilano	39620	905	367510	40595	1041	642914	1327707	1472	43045	"13,245"	"8,740"	"12,545"	"9,550"	9925	13025
Marpole	22415	752	402146	23785	822	654299	1695892	1113	24460	"5,725"	"3,555"	"5,615"	"4,190"	4490	6410
Mount Pleasant	24535	692	198301	23615	772	404175	803459	1291	32955	"9,075"	"3,580"	"8,595"	"4,195"	7030	10955
Oakridge	11795	1064	534190	12725	1253	883621	2414767	1494	13030	"1,710"	"2,620"	"1,660"	"2,980"	3085	1945
Renfrew-Collingwood	44950	768	286688	48885	811	494185	1099509	1107	51530	"5,820"	"8,835"	"5,845"	"10,965"	11015	7855
Riley Park	21990	828	337817	21815	885	635018	1695195	1361	22555	"3,680"	"4,500"	"3,460"	"4,905"	5135	3700
Shaughnessy	9020	1259	876516	8900	1371	1422043	3247312	1786	8430	795	"2,175"	635	"2,405"	2145	730
South Cambie	6995	1039	424386	7070	1077	737285	1907007	1500	7970	"1,230"	"1,445"	"1,075"	"1,720"	1860	1300
Strathcona	11575	421	217727	11920	500	459923	845567	699	12585	"6,030"	775	"5,350"	855	1125	4730
Sunset	33425	750	317281	35230	784	581122	1456880	1112	36500	"4,095"	"5,815"	"4,455"	"6,450"	6185	5410
Victoria-Fraserview	27150	779	347317	29200	861	607081	1441615	1064	31065	"2,955"	"5,440"	"3,370"	"6,140"	6195	3975
West End	42120	809	211959	44560	908	406894	670773	1308	47200	"22,845"	"5,145"	"23,320"	"5,640"	6130	24690
West Point Grey	12680	1075	645496	12990	1114	1078609	2830724	1524	13065	"1,980"	"3,205"	"1,915"	"3,465"	3325	2015
Vancouver CSD (City of Vancouver)	545675	796	358374	578040	898	628682	1414191	1296	631485	"132,755"	"103,340"	"131,535"	"121,830"	133160	150745
Vancouver CMA  (Metro Vancouver)	1986965	814	294847	2116580	893	520937	1005920	1242	2463430	"294,350"	"459,575"	"283,755"	"529,095"	608080	347220
